"""","入港船舶数_　　　    総  数_隻  数(隻)","入港船舶数_　　　    総  数_総トン数(千ﾄﾝ)","入港船舶数_　　  　  外  航_隻  数(隻)","入港船舶数_　　  　  外  航_総トン数(千ﾄﾝ)","入港船舶数_　　　    内  航_隻  数(隻)","入港船舶数_　　　    内  航_総トン数(千ﾄﾝ)"
"昭和60年(1985年)","156416.0","58874.428","1192.0","24837.005","155224.0","34037.423"
"平成 2年(1990年)","146618.0","61913.651","1116.0","29923.834","145502.0","31989.817"
"平成 7年(1995年)","143433.0","57862.368","1037.0","27052.966","142396.0","30810.032"
"平成12年(2000年)","103892.0","52596.0","1087.0","24791.0","102805.0","27805.0"
"平成17年(2005年)","90329.0","44204.0","1241.0","21317.0","89088.0","22887.0"
"","","","","","",""
"平成21年(2009年)","67184.0","44829.0","1083.0","24713.0","66101.0","20117.0"
"平成22年(2010年)","59791.0","48370.0","1172.0","26992.0","58619.0","21378.0"
"","","","","","",""
"平成23年(2011年)","60563.0","48861.299","1300.0","27835.733","59263.0","21025.566"
"平成24年(2012年)","58650.0","52625.0","1255.0","30122.0","57395.0","22504.0"
"平成25年(2013年)","55718.0","53402.0","1158.0","30064.0","54560.0","23337.0"
