"""","甲種港湾計　_隻 数(隻)","甲種港湾計　_総トン数(千ﾄﾝ)","甲種港湾_和歌山下津港_隻 数(隻)","甲種港湾_和歌山下津港_総トン数(千ﾄﾝ)","甲種港湾_日高港_隻 数(隻)","甲種港湾_日高港_総トン数(千ﾄﾝ)","甲種港湾_新宮港_隻 数(隻)","甲種港湾_新宮港_総トン数(千ﾄﾝ)","乙種港湾計_隻 数(隻)","乙種港湾計_総トン数(千ﾄﾝ)","乙種港湾_加太港_隻 数(隻)","乙種港湾_加太港_総トン数(千ﾄﾝ)","乙種港湾_湯浅広港_隻 数(隻)","乙種港湾_湯浅広港_総トン数(千ﾄﾝ)","乙種港湾_由良港_隻 数(隻)","乙種港湾_由良港_総トン数(千ﾄﾝ)","乙種港湾_文里港_隻 数(隻)","乙種港湾_文里港_総トン数(千ﾄﾝ)","乙種港湾_日置港_隻 数(隻)","乙種港湾_日置港_総トン数(千ﾄﾝ)","乙種港湾_袋  港_隻 数(隻)","乙種港湾_袋  港_総トン数(千ﾄﾝ)","乙種港湾_大島港_隻 数(隻)","乙種港湾_大島港_総トン数(千ﾄﾝ)","乙種港湾_古座港_隻 数(隻)","乙種港湾_古座港_総トン数(千ﾄﾝ)","乙種港湾_浦神港_隻 数(隻)","乙種港湾_浦神港_総トン数(千ﾄﾝ)","乙種港湾_勝浦港_隻 数(隻)","乙種港湾_勝浦港_総トン数(千ﾄﾝ)","乙種港湾_宇久井港_隻 数(隻)","乙種港湾_宇久井港_総トン数(千ﾄﾝ)"
"平成24年(2012年)","14886.0","48613.0","13456.0","45752.0","758.0","1488.0","672.0","1373.0","43764.0","4013.0","2872.0","45.0","14764.0","167.0","3250.0","3124.0","2985.0","243.0","3117.0","65.0","5455.0","47.0","2844.0","73.0","20.0","0.0","1961.0","24.0","5262.0","208.0","1234.0","16.0"
"平成25年(2013年)","14564.0","48584.0","13029.0","45779.0","835.0","1514.0","700.0","1291.0","41154.0","4818.0","2380.0","91.0","12747.0","149.0","3060.0","3744.0","3152.0","312.0","3575.0","149.0","5888.0","54.0","2675.0","73.0","20.0","0.0","1124.0","19.0","5184.0","210.0","1349.0","19.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"　 外航商船","1158.0","30063.0","1122.0","29472.0","1.0","1.0","35.0","591.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"   外航自航","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","",""
"　 内航商船","10223.0","11123.0","8807.0","9044.0","818.0","1488.0","598.0","591.0","5376.0","721.0","818.0","16.0","64.0","26.0","195.0","121.0","441.0","217.0","107.0","121.0","39.0","19.0","0.0","0.0","0.0","0.0","26.0","13.0","3673.0","184.0","13.0","4.0"
"　 内航自航","2745.0","7170.0","2745.0","7170.0","0.0","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"　 漁  船","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","32264.0","325.0","462.0","12.0","12683.0","122.0","2640.0","25.0","2465.0","54.0","3468.0","28.0","4103.0","23.0","2478.0","13.0","20.0","0.0","1098.0","7.0","1511.0","26.0","1336.0","15.0"
"　 避難船","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","338.0","109.0","0.0","0.0","0.0","0.0","141.0","49.0","0.0","0.0","0.0","0.0","0.0","0.0","197.0","60.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"　 その他","438.0","227.0","355.0","93.0","16.0","25.0","67.0","109.0","3176.0","3666.0","1100.0","63.0","0.0","0.0","84.0","3550.0","246.0","41.0","0.0","0.0","1746.0","12.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
